title,description,place,tags,frequency,heurPrincip,severity,evaluator,ofProject
Corey Woolfolk,corey woolfolk born february 26 1983 in ann arbor michigan is a former american soccer forwardwoolfolk attended pioneer high school where he was a 1996 first team all state and nscaa high school all american he then attended stanford university where he played on the mens soccer team from 1997 to 2000 he graduated with a bachelor degree in urban planning on february 6 2001 the san jose earthquakes drafted woolfolk in the 5th round 49th overall in the 2001 mls superdraft he played seven preseason games scoring four goals the earthquakes waived woolfolk on may 30 2001 to free up a roster spot for landon donovan on june 18 2001 woolfolk signed with the minnesota thunder in the usl aleague he broke his foot in 2002 and lost most of the season playing part of the time with the dayton gemini of the premier development league and serving as an assistant coach with the university of michigan mens soccer team in 2003 he played for the pittsburgh riverhounds then in 2004 he moved to the rochester rhinos in 2005 he joined the puerto rico islanders where he was the teams second leading scorer with nine goals on february 1 2006 he signed with the vancouver whitecaps he suffered a stress fracture in the preseason and played only one game before with vancouver the team released him in december 2006 in 2007 he played three games for the atlanta silverbacks,Corey Woolfolk,Corey Woolfolk,2,9,4,user6,p2
James Caan (entrepreneur),james caan cbe born nazim khan 28 december 1960 is a britishpakistani entrepreneur and television personality he is best known as a former investor on the bbc television program dragons den in which he was one of the dragons from 2007 to 2010 more recently he has hosted the business class on cnbc a series which sees him joined by experts from a cross section of industries to analyse and advise innovative uk small and medium enterprises he is also chairman of the uk governments start up loans scheme which supports entrepreneurs with funding and mentoring to start their own businesscaan initially achieved success in the recruitment industry he founded the recruitment company alexander mann group in 1985 and sold it in 2002 in 1993 caan cofounded the executive headhunting firm humana international in which he sold his stake in 1999 he is also the founder and currently ceo of the ukbased private equity firm hamilton bradshaw in 2013 he was named chairman of the year at the international business awardscaan has been involved in a number of charitable activities and founded the james caan foundation in 2006 caan did not attend university as an undergraduate but graduated from the advanced management program at harvard business school in 2003,James Caan (entrepreneur),James Caan (entrepreneur),3,5,3,user1,p2
Harvey Pittel,harvey pittel born june 22 1943 is an american saxophonist who performs principally in north america and is currently the professor of saxophone at the university of texas at austin sarah and ernest butler school of music in the college of fine artsfollowing studies as a music education major at the university of southern california usc pittel obtained his masters degree under the tutelage of fred hemke at northwestern university and subsequently studied at the juilliard school with joseph allard he performed a solo recital at carnegie hall in 1973 as a winner of the concert artists guild competition he has edited the saxophone and piano reduction of the ingolf dahl concerto for saxophone and band based on his work with dahl during his studies at the university of southern california his version of the concerto is the standard version of this piece played today and has performed the piece under dahl as well as michael tilson thomas and zubin mehta mr pittel has performed with many major orchestras including the los angeles philharmonic louisville orchestra boston symphony new york philharmonic san antonio symphony and austin symphonypittel has been critically acclaimed in leading newspapers and magazines by both harold c schonberg and raymond ericson in the new york times michael steinberg in the boston globe and winthrop sargeant in the new yorker and his many awards include two martha baird rockefeller fund grants and a national endowment for the arts solo recitalist grantfilm soundtracks on which pittel has collaborated include for woody allens manhattan and he has appeared as a guest on the today show and live from lincoln center works written for harvey pittel include the paul chihara saxophone concerto soprano saxophone sonata and milton babbitts images for saxophone and tapeformer students includedr jeffrey benedict faculty department of music california state university los angelesdr dan goble dean school of visual and performing arts western connecticut state university also plays with the harvey pittel saxophone quartet todd oxford faculty school of music texas state university san marcossteve mohacey dr jack cooper faculty university of memphis school of music vincent gnojek faculty school of music university of kansasroger greenberg retired from university of northern coloradojames rotter retired cal state fullerton usc thornton school of musicrobert medina elision saxophone quartettodd yukomoto university of hawaiijavier oviedo faculty western connecticut state universitypaul haar university of nebraskalincoln rami elfarrah faculty school of music university of texas at san antoniomace hibbard georgia state universityjeremy justeson kutztown university of pennsylvania allen won faculty the mannes college for musicwilliam gravesjames hairstondebra mckim hastings college branford marsalis and kenny garrett are among the most notable jazz saxophonists that have studied with pittel,Harvey Pittel,Harvey Pittel,4,8,1,user4,p2
Sascha Radetsky,sascha radetsky born march 29 1977 is a soloist danseur with the american ballet theatre and an actorhe was born in santa cruz california and began studying ballet in the san francisco bay area he was invited to study at the bolshoi academy in moscow when he was 15 and after spending a year there he went to the kirov academy of ballet he later studied on a scholarship in the summer programs of the school of american ballet the american ballet theatres school of classical ballet with mikhail baryshnikov and the san francisco ballet school radetsky joined the american ballet theatre as an apprentice in 1995 moving up to corps de ballet the following year and named a soloist in 2003he starred in the 2000 movie center stage as charlie the leads second love interest and appeared in the mandy moore music video i wanna be with you from the movies soundtrack he has also had lead roles in the pbs television movie home at last and the nbc television series midnight callerradetsky began his ballet studies in the san francisco bay area with damara bennett and ayako takahashi at the age of 15 he was invited to study in moscow at the bolshoi academy under worldrenowned mens teacher pytor pestov after a year in russia he studied on scholarship at the kirov academy in washington d c under rudolph kharatian and andrei garbouz he toured with the kirov ballet throughout the united states and internationally he also studied on scholarship at the summer programs of the school of american ballet american ballet theatres school of classical ballet with mikhail baryshnikov the san francisco ballet school and the bolshoi ballet academy in vail coloradoradetsky joined american ballet theatre as an apprentice in 1995 became a member of the corps de ballet in 1996 and a soloist in 2003 his repertoire includes the head fakir in la bayadre accordionist in the bright stream the third movement in bruch violin concerto no 1 lankendem and birbanto in le corsaire espada and the lead gypsy in don quixote demetrius in the dream the pastor in fall river legend the second and third sailor in fancy free hilarion and the peasant pas de deux in giselle the pas de deux in jabula gaston in lady of the camellias the jailer in manon camille in the merry widow cavalier and the nutcrackerprince and in kevin mckenzies the nutcracker iago in othello petrouchka in petrouchka the warrior chieftain in the polovtsian dances from prince igor rabbit in rabbit and rogue bernard in raymonda the champion roper in rodeo benvolio tybalt and paris in romeo and juliet the bluebird in the sleeping beauty benno and von rothbart in swan lake orion in sylvia the fourth movement in symphony in c hortensio in the taming of the shrew thas pas de deux the guitar pas de deux from within you without you a tribute to george harrison and leading roles in the brahmshaydn variations c to c close to chuck tudes the leaves are fading and many others he created the arabian man in alexei ratmanskys the nutcracker and leading roles in from here on out troika and thirteen diversionshe has danced the works of acclaimed choreographers such as balanchine morris taylor lubovitch macmillan tharp tudor cranko de mille elo robbins reinking wheeldon and kylian he is an original member of the troupe stiefel and stars and has been a frequent guest performer and teacher will ballet companies across the united states and abroadin september 2008 radetsky joined the dutch national ballet as a principal dancer where his repertoire included albrecht in giselle and masetto in don giovanni in 2006 radetsky married fellow abt soloist stella abrera the two wed in his hometown of santa cruz ca in september 2008 sascha radetsky left abt to join dutch national ballet as a principal dancer on january 1 2010 radetsky returned to american ballet theater as a soloist and later retired in july 2014,Sascha Radetsky,Sascha Radetsky,2,7,2, user3,p2
Derartu Tulu,derartu tulu amharic born march 21 1972 in bekoji ethiopia is an ethiopian long distance track road and marathon athletederartu grew up tending cattle in the village of bekoji in the highlands of arsi province the same village as kenenisa bekelederartu is the first ethiopian woman to win a gold medal which she won in the 10000m event at the 1992 barcelona olympic games the race where her and elana meyer south africa raced for lap after lap way ahead of the rest of the field launched her career she sat out 1993 and 1994 with a knee injury and returned to competition in the 1995 iaaf world cross country championships where she won gold having arrived at the race only an hour before the start she was stuck in athens airport without sleep for 24 hours the same year she lost out to fernanda ribeiro and won silver at the world championships 100001996 was a difficult year at the iaaf world cross country championships tulu lost her shoe in the race and had to fight back to get 4th place she also finished 4th at the olympic games where she was nursing an injury in 1997 she won the world cross country title for the second time but did not factor in the 10000 metres world championships 1998 and 1999 she gave birth but came back in 2000 in the best shape of her life she won the 10000 metres olympic gold for the second time the only woman to have done this in the short history of the event she had also won the iaaf world cross country championships title for the third time in 2001 she finally won her world 10000 track title in edmonton this was her third world and olympic gold medal she has a total of 6 world and olympic gold medalsher transition to the marathon was rewarded with victories in london and tokyo marathons in 2001 she finished 4th at the 2005 world championships setting her personal best time of 22330 she also won the portugal half marathon in 2000 and 2003 and lisbon half marathon in 2003 in 2009 at the age of 37 she won the new york city marathon defeating of the likes of paula radcliffe1 lyudmila petrova and salina kosgeiin 2004 she declined to enter the new york marathon where she would have been likely to face marathon world record holder paula radcliffe whom she has had a great rivalry with over the years and focused instead on the olympic games where she won the bronze medal in the 10 000 m behind xing huina and her cousin ejegayehu dibaba radcliffe failed to finishas of 2009 derartu tulu is still running competitively while most of her old rivals are retired or retiring she is also remembered for her speed and her 603 secondlast lap at the end of the 10000 metres at the sydney olympics was a sprint of note,Derartu Tulu,Derartu Tulu,5,6,3,user5,p2
Michael Waller,michael vincent waller born october 26 1985 in staten island new york is an american composer of contemporary classical music he has studied with la monte young marian zazeela and bunita marcushis recent compositions have been compared to erik satie claude debussy maurice ravel keith jarrett and morton feldman blending elements of minimalism impressionism gamelan world music and melodic classicism his piano works have been described as evoking debussy but refracted through a 21st century prism reviewer brian olewnick summarizes wallers music has centered around a kind of melodic classicism the source of which i struggle to ascertain critic harry rolnick in reviewing a performance of his string trio per la madre e la nonna 2012 the harmonies were like something written by dvork perhaps his cypresses but they were obvious originalhis chamber works feature a rich lyricism and counterpoint described by steve smith of the new york times as sweetly lyrical and pensive in the october 2014 issue of the brooklyn rail george grella highlighted waller as an emerging unique artist in new york who deserves more critical attention and to be heard by larger audiences the fruits are heard on an ep released early this year five easy pieces piano works played by megumi shibata and jenny q chai the music is subtly affecting and shows his roots in bartk and debussy without ever casting a shadow over his own voice and vision wallers early work was heavily focused on the avantgarde with his use of microtonality just intonation new abstract forms extensive glissandi and isolated sonorities around frequent silences during this period he also composed electroacoustic music with monolithic drones and interference beats and overall features appreciation for slow durations exotic harmonic relationships and processbased phenomenon his postminimal chamber works have been performed by members of the sem ensemble and flux quartet performing at venues such as issue project room and carnegie hallhe also curates an avantgarde program in new york city the newideas musicseries with composers phill niblock elliott sharp a duo with david first and many more performing he was written up in timeout classical composer and visual artist michael vincent waller who also happens to be a protg of la monte young and marian zazeela opens the second season of the pluggedin newmusic series,Michael Waller,Michael Waller,2,7,2, user3,p2
C. C. Bridgewater,carroll c bridgewater jr born july 8 1944 is a former judge of division ii of the washington court of appeals having been out on the court in november 1994 and holding the post until leaving in 2010 due to a heart attackbridgewater received an bachelor of arts in philosophy from stanford university in 1966 and was given a law degree from the university of texas school of law in 1969after leaving the university of texas law school bridgewater joined the federal trade commission to do work in consumer protection in kansas city missouri three years later he became a deputy prosecuting attorney in cowlitz county washington he left government employment two years later to enter private practice to be a domestic relations health care and criminal defense attorney in 1986 he was given the post of prosecuting attorney of cowlitz county which he held until being named to the washington court of appeals in 1994 he was retained by the electorate in 1995 1998 and 2004on june 4 2010 bridgewater suffered a heart attack in nuremberg germany while on vacation in europe and was in a medically induced coma for five weeks consequently he missed the june 11 deadline to file for reelection to the courtduring his 16 years on the court he wrote 1500 opinions and edited 3000 opinionshe was replaced on the court by jill johanson who had worked for him in the cowlitz county prosecutors officebridgewater lives in castle rock washington with his wife kay with whom he has three sons,C. C. Bridgewater,C. C. Bridgewater,5,5,3,user5,p2
"Patricia Hollis, Baroness Hollis of Heigham",patricia lesley hollis baroness hollis of heigham pc dl ne wells born 24 may 1941 is a labour member of the house of lordsshe was educated at plympton grammar school at cambridge university the university of california and columbia university new york both where she was harkness fellow from 1962 to 1964 and at nuffield college oxford ma dphilshe was a lecturer in modern history reader and dean at the university of east anglia in norwich from 1967 until 1990 she served as a national commissioner for english heritage from 1988 until 1991 she was married to martin hollis professor of philosophy at the university of east anglia until his death in 1998 they had two sonspatricia hollis contested the great yarmouth constituency for labour at the february 1974 general election the october 1974 election and at the 1979 general election she became involved in local politics early in her career serving on norwich city council from 1968 to 1991 and as leader of the council from 1983 to 1988 patricia hollis served on the press council from 1988 to 1990 and was a director of radio broadland from 1983 until 1997hollis was created a life peer as baroness hollis of heigham of heigham in the city of norwich on 1 june 1990 and was an opposition whip in the house of lords between 1990 and 1995 and opposition spokeswoman on housing local government the environment disability and social security from 1990 while in opposition she carried through the lords the proposals for pension sharing on divorce which have now become lawhollis was parliamentary undersecretary of state at the department for work and pensions previously department of social security from 5 may 1997 to the 2005 reshuffle was made a privy counsellor in 1999 and is now a deputy lieutenant for norfolkshe is a fellow of the royal historical society an honorary fellow of girton college cambridge and the author of several books on womens history and on labour history her book jennie lee a life 1997 won the orwell prize for political biography and the wolfson history prize for the history book of the year in 2001 she was awarded the honorary degree of doctor of the university by the open university,"Patricia Hollis, Baroness Hollis of Heigham","Patricia Hollis, Baroness Hollis of Heigham",5,4,1,user5,p2
John Dickson (author),john dickson is an australian writer historian minister and honorary fellow in the department of ancient history at macquarie university he is cofounder and director of the centre for public christianity a media company which seeks to promote the public understanding of the christian faith in 2010 he started parttime as the senior minister of st andrews rosevilledicksons books focus on the relevance of jesus in the contemporary world he won australian christian book of the year in 2000 and 2005before starting his writing career in 1993 dickson was a singersongwriter with the band in the silence with whom he continues to perform occasionally he also hosted the music tv show swordfish on network ten for two yearsdickson has a phd in ancient history from macquarie university and is a speaker and writer much of his attention in recent years has focused on the life of jesus and challenging the arguments of the new atheistsone of dicksons books the christ files was made into a documentary and shown on network seven at easter 2008 as well as christmas day in 2009in 2012 dickson wrote hearing her voice a case for women giving sermons in it he argued that 1 timothy 212 i do not permit a woman to teach or to have authority over a man does not mean that women cannot give sermons today since the teaching referred to meant preserving and laying down the traditions handed on by the apostles and that does not happen in most sermons today matthias media published a volume of essays in response to dicksons book women sermons and the bible essays interacting with john dicksons hearing her voice,John Dickson (author),John Dickson (author),5,5,1,user1,p2
Lynn Hoffman (US broadcaster),lynn hoffman was born amy lynn hoffman on july 31 1970 in boston massachusetts she knew she wanted to be in show business ever since she performed in the play peter pan while in elementary school when i got up there on stage and made all those people smile i felt like i was home lynn starred in many stage productions and eagerly pursued acting singing dancing and playing many musical instruments during her early schooling years at 19 she recorded her first radio commercial for her fathers office furniture business her passion and love for broadcasting flourished and led her to pursue her college career in communications graduating with a degree in communications from new england institute of art in 1992 she quickly started making a living with her voicelynn hoffman was the hostess of hip house during its 19911992 season called nickname amy lynn now called lynn hoffman lynn landed her first professional onair broadcasting position in 1992 with metro networks as a trafficnews reporter for various boston radio stations in 1996 worked for wbmx mix 985 in boston with john lander during the morning drive timelynn hoffman joined the station which led to a 5 12 year run as cohost to one of the most highly rated morning shows in bostonin 1997 she signed with william morris agency as a voiceover talent and currently lynn hoffman can be heard as the imaging voice on radio stations throughout the country later in 1998 lynn became the entertainment reporter fillin on wbz 4 in bostonlynn hoffman moved from boston massachusetts to new york city in february 2002 she also hosted vh1 classics all request hour playing classic music videos requested by the channels viewing audience in 2003 lynn was hired to host a time life tv infomercial called legends of rock cohosting alongside rock and roll legend roger daltrey of the who that can currently be seen on major networks throughout the us north america and england in 2004 lynn was given her own morning show the morning mix with lynn hoffman and gregg daniels on cbs radios wnewfm mix 1027 now called wwfs fresh 1027 in new yorkshe left the network on july 2 2004as of 2007 lynn hoffman the voice of wwfs the new fresh 1027 lynn hoffman is hosting a new show on the ae network entitled private sessions the format of the show is oneonone interviews interspersed with musical performanceslynn hoffman was born on july 31 1970 in boston massachusetts,Lynn Hoffman (US broadcaster),Lynn Hoffman (US broadcaster),5,8,1,user4,p2
